지점,지점명,일시,합계 일사량(MJ/m2)
100,대관령,2025-06,654.02
100,대관령,2025-07,617.86
100,대관령,2025-08,557.83
100,대관령,2025-09,392.52
100,대관령,2025-10,236.28
100,대관령,2025-11,332.03
100,대관령,2025-12,264.21
101,춘천,2016-01,250
101,춘천,2016-02,286.61
101,춘천,2016-03,433.79
101,춘천,2016-04,503.49
101,춘천,2016-05,594.12
101,춘천,2016-06,573.3
101,춘천,2016-07,438.09
101,춘천,2016-08,523.53
101,춘천,2016-09,391.01
101,춘천,2016-10,310.56
101,춘천,2016-11,212.1
101,춘천,2016-12,196.96
101,춘천,2017-01,260.72
101,춘천,2017-02,333.75
101,춘천,2017-03,428.2
101,춘천,2017-04,543.97
101,춘천,2017-05,623.47
101,춘천,2017-06,631.98
101,춘천,2017-07,428.04
101,춘천,2017-08,425.35
101,춘천,2017-09,461.76
101,춘천,2017-10,355.66
101,춘천,2017-11,249.31
101,춘천,2017-12,229.47
101,춘천,2018-01,274.35
101,춘천,2018-02,323.46
101,춘천,2018-03,418.73
101,춘천,2018-04,498.66
101,춘천,2018-05,566.15
101,춘천,2018-06,622.37
101,춘천,2018-07,598.56
101,춘천,2018-08,545.21
101,춘천,2018-09,449.98
101,춘천,2018-10,325.79
101,춘천,2018-11,209.29
101,춘천,2018-12,223.95
101,춘천,2019-01,261.3
101,춘천,2019-02,296.58
101,춘천,2019-03,368.69
101,춘천,2019-04,442.86
101,춘천,2019-05,612.37
101,춘천,2019-06,558.2
101,춘천,2019-07,429.86
101,춘천,2019-08,512.34
101,춘천,2019-09,340.61
101,춘천,2019-10,350.93
101,춘천,2019-11,253.7
101,춘천,2019-12,200.48
101,춘천,2020-01,255.19
101,춘천,2020-02,310.84
101,춘천,2020-03,486.87
101,춘천,2020-04,581.2
101,춘천,2020-05,567.78
101,춘천,2020-06,618.77
101,춘천,2020-07,481.37
101,춘천,2020-08,351.26
101,춘천,2020-09,404.53
101,춘천,2020-10,384.61
101,춘천,2020-11,270.91
101,춘천,2020-12,253.75
101,춘천,2021-01,256.88
101,춘천,2021-02,328.03
101,춘천,2021-03,445.14
101,춘천,2021-04,537.02
101,춘천,2021-05,539.65
101,춘천,2021-06,585.1
101,춘천,2021-07,659.51
101,춘천,2021-08,449.57
101,춘천,2021-09,454.82
101,춘천,2021-10,322.46
101,춘천,2021-11,255.2
101,춘천,2021-12,227.56
101,춘천,2022-01,281.03
101,춘천,2022-02,357.96
101,춘천,2022-03,410.29
101,춘천,2022-04,597.63
101,춘천,2022-05,699.14
101,춘천,2022-06,491.59
101,춘천,2022-07,559.64
101,춘천,2022-08,426.66
101,춘천,2022-09,457.96
101,춘천,2022-10,354.56
101,춘천,2022-11,258.62
101,춘천,2022-12,230.9
101,춘천,2023-01,256.75
101,춘천,2023-02,344.85
101,춘천,2023-03,493.82
101,춘천,2023-04,484.96
101,춘천,2023-05,642.24
101,춘천,2023-06,636.34
101,춘천,2023-07,527.54
101,춘천,2023-08,516.99
101,춘천,2023-09,429.48
101,춘천,2023-10,363.99
101,춘천,2023-11,259.71
101,춘천,2023-12,208.82
101,춘천,2024-01,258.9
101,춘천,2024-02,263.58
101,춘천,2024-03,427.33
101,춘천,2024-04,531.57
101,춘천,2024-05,659.64
101,춘천,2024-06,692.15
101,춘천,2024-07,457.84
101,춘천,2024-08,603.47
101,춘천,2024-09,433.29
101,춘천,2024-10,332.01
101,춘천,2024-11,290.84
101,춘천,2024-12,243.33
101,춘천,2025-01,244.55
101,춘천,2025-02,391.22
101,춘천,2025-03,461.21
101,춘천,2025-04,579.04
101,춘천,2025-05,564.66
101,춘천,2025-06,523.76
101,춘천,2025-07,590.81
101,춘천,2025-08,522.76
101,춘천,2025-09,397.84
101,춘천,2025-10,284.19
101,춘천,2025-11,290.81
101,춘천,2025-12,213.67
102,백령도,2018-05,621.3
102,백령도,2018-06,626.45
102,백령도,2018-07,618.28
102,백령도,2018-08,660.12
102,백령도,2018-09,526.42
102,백령도,2018-10,469.54
102,백령도,2018-11,282.97
102,백령도,2018-12,221.58
102,백령도,2019-01,281.37
102,백령도,2019-02,339.28
102,백령도,2019-03,475.51
102,백령도,2019-04,576.52
102,백령도,2019-05,765.12
102,백령도,2019-06,608.68
102,백령도,2019-07,568.86
102,백령도,2019-08,656.4
102,백령도,2019-09,468.31
102,백령도,2019-10,425.59
102,백령도,2019-11,281.44
102,백령도,2019-12,196.74
102,백령도,2020-01,272.53
102,백령도,2020-02,304.91
102,백령도,2020-03,581.49
102,백령도,2020-04,710.41
102,백령도,2020-05,541.13
102,백령도,2020-06,603.06
102,백령도,2020-07,611.74
102,백령도,2020-08,360.34
102,백령도,2020-09,501.19
102,백령도,2020-10,438.38
102,백령도,2020-11,262.91
102,백령도,2020-12,209.37
102,백령도,2021-01,231.25
102,백령도,2021-02,345.43
102,백령도,2021-03,485.2
102,백령도,2021-04,601.52
102,백령도,2021-05,682.22
102,백령도,2021-06,577.25
102,백령도,2021-07,649.78
102,백령도,2021-08,505.26
102,백령도,2021-09,504.76
102,백령도,2021-10,393.66
102,백령도,2021-11,238
102,백령도,2021-12,210.76
102,백령도,2022-01,285.68
102,백령도,2022-02,345.94
102,백령도,2022-03,467.53
102,백령도,2022-04,637.17
102,백령도,2022-05,708.6
102,백령도,2022-06,464.8
102,백령도,2022-07,613.71
102,백령도,2022-08,535.72
102,백령도,2022-09,534.24
102,백령도,2022-10,457.36
102,백령도,2022-11,256.85
102,백령도,2022-12,212.79
102,백령도,2023-01,260.65
102,백령도,2023-02,355.53
102,백령도,2023-03,509.78
102,백령도,2023-04,560.48
102,백령도,2023-05,642.34
102,백령도,2023-06,670.07
102,백령도,2023-07,606.59
102,백령도,2023-08,586.28
102,백령도,2023-09,491.36
102,백령도,2023-10,441.98
102,백령도,2023-11,252.2
102,백령도,2023-12,174.06
102,백령도,2024-01,241.02
102,백령도,2024-02,314.5
102,백령도,2024-03,530.97
102,백령도,2024-04,622.73
102,백령도,2024-05,681.18
102,백령도,2024-06,762.86
